YouTube,status,name,co-speaker,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,a keynote,Alayshia Knighten,,,,Freelance,Alayshia Knighten.png,https://www.linkedin.com/in/alayshia/,,,,Keynote: Supercharging Observability with Feature Flagging,"Feature flags allow you to enable and disable code without changing or deploying any source code, as well as letting you selectively route traffic to certain users or a percentage of certain users, along with other great tricks. It’s powerful stuff … but when you combine it with observability (the ability to understand the inner workings of your complex systems and other unknown-unknowns), what you get is a supercharged, superpowered version of both.
With observability and feature flags, you and your teams get deep technical and business insights in real time about how your code is working, what changed with your last deploy, and how changes are impacting different users, apps, or groups.",,
,a keynote,Joyce Lin,,,,Postman,Joyce Lin.png,https://www.linkedin.com/in/joyce-lin/,,@PetuniaGray,,Keynote: Developers are all the same,"We know that developers are not all the same. But wait, they kind of are. This talk shares lessons learned from 20+ million developers to help SREs better engage with application developers.",,
,a keynote,Miko Pawlikowski,,,,SRE Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: The state of SRE in 2023,"Come and explore the landscape of SRE as it is in 2024, with the new trends, techniques and tools on the horizon.",,
,confirmed,Aleksei Popov,,,,Stenn International,Aleksei Popov.png,https://www.linkedin.com/in/aleksei-popov-771b34233/,,,,Architecture of a Fintech Startup: Tackling Growing Complexity at Scale,"Comprehensive overview of various aspects of building a highly scalable fintech startup with a product-led strategy. In this talk, Aleksei Popov shares insights on different problems and solutions for tackling the inevitable growing complexity during the scaling of a fintech startup. He will also discuss the role of technology in enhancing customer experience and streamlining operations.",,"Alex is a dedicated Software Engineering Manager with a specialization in the .NET environment and software architecture. Currently serving as the Engineering Lead at a prominent fintech company in London, Alex has led the development and deployment of critical products that have made significant impacts on the fintech landscape. His initiatives have directly led to the enhancement of payment systems, the introduction of innovative financial solutions, and the strengthening of security measures. These contributions have not only propelled the company's growth but have also set new standards in the industry."
,confirmed,Andrei Kvapil,,,,Flant,Andrei Kvapil.png,https://www.linkedin.com/in/kvaps/,,kvaps,,"Mastering Metal: Our Journey to Stable, Reproducible Infrastructures with Talos Linux and Cozystack",How to deploy a reproducible environment on bare metal with Talos Linux. Our experience in developing an open platform designed for on-premise. How we ensure component stability on any hardware.,,"Linux and Open Source fanboy. Developer Advocate and crazy idea generator.
I like to find non-standard solutions and promote them to the community.

Over the years, I've gathered a lot of experience with free virtualization platforms and software-defined storage.
Currently, most of the technologies I work with are Kubernetes, LINSTOR and KubeVirt."
,confirmed,Andreia Otto,,,,adidas,Andreia Otto.png,https://www.linkedin.com/in/andreia-otto/,,,,Navigating the Transition: SRE Challenges and Highlights in Shifting from Monolith to Microservices at adidas e-commerce,"Explore adidas e-commerce's shift from monolithic to microservices in this talk. Uncover the challenges and insights faced by SREs – from scalability to incident response. Join us for practical lessons, best practices, and success stories navigating SRE in the microservices era.",,"Andreia Otto, leading the adidas Digital SRE team. Hailing from Brazil and now residing in Germany, she oversees the reliability of adidas e-commerce. Implementing DevOps practices and SRE principles daily, Andreia ensures seamless operations in the dynamic world of digital commerce. 
When not working, she is usually outdoors with her dogs or eating cheesecake with a cup of coffee!
"
,confirmed,Anthony Ekpechue,,,,Globallogic,Anthony Ekpechue.png,https://www.linkedin.com/in/anthonyekpechue/,,,,Adopting Zero-Trust Security Strategy in Serverless application Deployment,Zero Trust Security Framework deployed as guardrails to verify every request as if it originates from an open network and anticipates that threats can be both internal and external using Enterprise Solutions like Hashicorp Sentinel and Open-source tools like Kyverno and Open Policy Agent.,,"My name is Anthony Ekpechue, and I work for Globallogic UK&I as a Lead Cloud Delivery Consultant. I have several years of experience as a DevOps Engineer and have a track record of delivering cloud solutions, with a focus on cloud adoption and migrating from monolithic to microservice architecture. I have also successfully implemented Zero Trust Solution across serverless workloads in a multi-tenant environment."
,confirmed,Antonio Cobo Cuenca,,,,Contino,Antonio Cobo Cuenca.png,https://www.linkedin.com/in/antoniocobocuenca/,,@Mind_of_AC,,From Hero to Zero: practical guide to destroy your best employees,"All of us have attended lots of talks with the premise “from Zero to Hero…”, but what does it take for a real Rock Star, a real Ninja, a magical Unicorn, a superhero to become a complete Zero?

How can we destroy those heroes in a way that every supervillain on every film has dreamt about every day?",,"Antonio is an Agile enthusiast with more than 20 years experience in the IT industry and specialises in Agile methodologies. He comes from a technical background, starting his career as a Java Developer in Spain in 2000, moving to different roles within IT in three different countries. Antonio is passionate about creating and implementing the best solution while continually seeking to improve work methodologies. He is convinced that most of the problems in IT are due to lack of communication! He usually speaks about Agile, DevOps,Team management and mental health at conferences across Europe and US, such as DevOps Days,  Agile Tour, JSConf, Codemotion and Voxxed Days."
,confirmed,Carlo Ventrella,,,,Agilelab,Carlo Ventrella.png,https://www.linkedin.com/in/carlo-ventrella-02752b71/,,,,A multi-environment deployment strategy for a Kubernetes-based microservice architecture.,"Imagine a product made of a number of microservices on Kubernetes and dozens of devs working on them. Now imagine multiple environments, where they must be deployed, tested and demoed at the speed of light.
Let's put all of this together in a design that satisfies devs, customers and SRE's nights!",,
,confirmed,CostaTsaousis,,,,Netdata,CostaTsaousis.png,https://www.linkedin.com/in/costatsaousis/,,@CostaTsaousis,,Practical AI with Machine Learning for Observability in Netdata,"In SreCON19, Todd Underwood from Google gave a presentation with the title “All of Our ML Ideas Are Bad (and We Should Feel Bad)”. Let’s see a few ML ideas, implemented in the open-source Netdata, that may not actually be that bad.",,"Hi! I am Costa Tsaousis, the Founder and CEO of Netdata. Since 1995, I have been actively working on internet related startups. I have been a co-founder and C-level executive of many successful projects, including Internet Service Providers, Cloud Hosting Providers and Fintech startups. I have a passion for innovation and open-source and I now lead Netdata, a monitoring solution aiming to simplify and modernize infrastructure observability for all of us.

I am a cat person and we have a whole tribe of them at the office constantly walking on our keyboards. We try to keep them out of the room when we are pressing the release button ;) "
